what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.server.generic.ui,1.0.405.v200905022002,"org.eclipse.jst.server.generic.ui",1511686521874
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.106.v20090814,"org.eclipse.jst.server.tomcat.core",1511686530717
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.102.v20090424,"org.eclipse.jst.server.tomcat.ui",1511686530740
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.jst.server.preview.adapter",1511686530745
opened,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1511687015007
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687015170
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1511687015274
error,log,,,"Error starting server Tomcat v6.0 Server at localhost",1511687018003
error,log,,,"Port 8080 required by Tomcat v6.0 Server at localhost is already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1511687018004
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687018033
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687025319
opened,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1511687031805
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1511687031866
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511687040071
started,bundle,org.eclipse.jst.jee.ejb,1.0.201.v201002021057,"org.eclipse.jst.jee.ejb",1511687056339
started,bundle,org.eclipse.jst.jee.web,1.0.201.v201002031231,"org.eclipse.jst.jee.web",1511687056341
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687056442
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687062536
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1511687062548
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1511687062610
error,log,,,"Port 8080 required by Tomcat v6.0 Server at localhost is already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1511687065175
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687065193
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687120610
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687123599
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687126275
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1511687126309
error,log,,,"Port 8080 required by Tomcat v6.0 Server at localhost is already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1511687128880
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687128898
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687142377
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687145727
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687147312
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1511687147344
error,log,,,"Server Tomcat v6.0 Server at localhost failed to start.",1511687147579
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687147656
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1511687147773
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687151922
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511687162471
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1511687162698
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511687170375
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511687180417
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511687180485
started,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1511687187483
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1511687187511
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1511687187513
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1511687187657
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1511687191915
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1511687192423
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1511687192564
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1511687193540
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.delete.line",1511687194215
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1511687195099
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511687197464
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1511687203792
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511687211631
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687223880
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687261552
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1511687261556
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511687263288
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1511687264344
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687275307
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687292027
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1511687292130
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1511687292137
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687300504
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687312653
opened,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1511687312842
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1511687312921
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511687316246
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687321166
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687330528
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1511687330568
error,log,,,"Server Tomcat v6.0 Server at localhost failed to start.",1511687330841
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687330940
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687334359
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687339712
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687349305
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1511687349339
error,log,,,"Server Tomcat v6.0 Server at localhost failed to start.",1511687349595
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687349682
opened,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1511687356644
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687356670
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1511687356680
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687361612
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687361696
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1511687362494
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1511687364867
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687365662
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687412841
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511687415117
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687419743
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687433603
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687436648
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687440252
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687440370
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687444560
error,log,,,"Server Tomcat v6.0 Server at localhost failed to start.",1511687444837
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687444922
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687451136
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687459909
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687469052
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687477435
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687482698
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1511687482741
opened,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1511687488619
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1511687488659
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1511687503418
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.run",1511687506923
error,log,,,"Server Tomcat v6.0 Server at localhost failed to start.",1511687507090
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687507174
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687507267
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1511687507279
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1511687507428
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687509208
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687509289
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1511687511018
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687521325
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687522954
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1511687522978
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.run",1511687525332
error,log,,,"Server Tomcat v6.0 Server at localhost failed to start.",1511687525477
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687525564
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687525655
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1511687525666
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1511687525801
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687526868
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687526958
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687527796
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687565675
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1511687570083
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1511687570084
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090831-1906,"org.eclipse.ecf.identity",1511687570152
started,bundle,org.eclipse.ecf,3.0.0.v20090831-1906,"org.eclipse.ecf",1511687570154
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1511687570171
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer",1511687570172
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687570231
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687572850
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1511687572880
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687578148
error,log,,,"Unable to load the repository http://download.eclipse.org/tools/mylyn/update/e3.4/",1511687611831
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1511687611849
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687693389
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1511687693439
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687702311
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687703706
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687704332
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687708010
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687715708
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511687718054
